coordenada,calificacion,comentario
,5,Buenísimo
,3,Buenaso
,5,Bueno!
,5,Buen lugar
,4,Buena comida y atención
,5,Buenísimo
,4,Buenísimo
,5,Muy bonito lugar
"-11.9422455,-77.138299,13z",1,"Soy cliente de ese chifa, habitualmente suelo ir con mis amigos y familia. Pero el día de hoy si q estuvo pésimo. Pedí un tallarin Taypa de la cual estuvo sin sal, todo horrible. Quise hablar con la dueña y no estaba. Sin duda mucho que desear."
"-11.9422455,-77.138299,13z",5,Buen servicio y excelente Calidad en sus menús
"-11.9422455,-77.138299,13z",5,"Servicio excelente... Siempre voy, si no puedo ir pido delivery. A mis hijos les encanta."
"-11.9422455,-77.138299,13z",4,"La comida es muy buena, precios cómodos."
"-11.9422455,-77.138299,13z",5,"Muy buen servicio, deliciosos platos"
"-11.9422455,-77.138299,13z",5,"En mi refrigerio, me acerco lqs veces que puedo a este restaurante. Es limpio, la comida bien preparada, agradable presentación. Recomiendo pedir el té de Jazmín. Les encantalá :D"
"-11.9422455,-77.138299,13z",4,"Los platos en general son muy buenos, todo se ve fresco,. Recomendado precios accesibles"
"-11.9422455,-77.138299,13z",5,"Excelente ubicado entre av carabayllo y av mexico, ricos los platos."
"-11.9422455,-77.138299,13z",5,"Un reciente lugar bien ubicado, de buena decoración interna, rápida atención y excelente comida china.
Sugiero mejorar el alcance de del servicio delivery, por qué cuando lo he…"
"-11.9422455,-77.138299,13z",2,"La sazon no alcanza al nivel que 3sperava ,a atención tibia ."
"-11.9422455,-77.138299,13z",4,"Excelente lugar para salir a comer, buen ambiente y la atención muy buena,les recomiendo"
"-11.9422455,-77.138299,13z",5,"Desde que lo probé, es uno de mis chifas favoritas de cono norte.. Desde el sabor hasta el delivery con buena presentación y son muy rápidos. Recomendable 👍🏻👍🏻👍🏻👍🏻…"
"-11.9422455,-77.138299,13z",1,"Pésimo Chifa, hoy 30/01/22 pedí un pollo con piña el cuál llegó bien lo que estuvo vinagrado fue su ají. Al momento de reclamar en su restaurante me negaron el retorno del dinero."
"-11.9422455,-77.138299,13z",5,Excelente atención buen sabor recomendado
"-11.9422455,-77.138299,13z",5,"Uno de los mejores chifas su variedad de platos es buena y sobre todo un buen servicio, su comida deliciosa y entradas muy ricas todos sus insumos son frescos y de buena calidad 😋…"
"-11.9422455,-77.138299,13z",4,"Buen lugar para comer, tiene aire acondicionado para estar mas fresco adentro. La comida esta es de buena calidad y al mejor precio."
"-11.9422455,-77.138299,13z",4,Muy buena la atención y la comida muy rica siempre voy con mis hijos a comer ahí nos encanta
"-11.9422455,-77.138299,13z",4,"Un buen sitio, aunque antes era un poco más rico la comida"
"-11.9422455,-77.138299,13z",5,"Muy buena toda la comida, la atención es rápida y el precio bastante accesible. Lo mejor los siu más. Recomendado."
"-11.9422455,-77.138299,13z",4,Buena sazón y variedad de platos. El ambiente es agradable para compartir.
"-11.9422455,-77.138299,13z",3,"Muy buena atención, pero la comida no estaba muy buena."
"-11.9422455,-77.138299,13z",5,Muy bueno y recomendado. Siempre voy a comer mi Typa a la plancha con sus dos chaufas y sus dos chichas uff brutalll muy rico
"-11.9422455,-77.138299,13z",5,"Buena atención, pero sobre todo buena comida."
"-11.9422455,-77.138299,13z",5,"Muy rico, atención rápido y muy buena."
"-11.9422455,-77.138299,13z",5,Es muy rico y atienden rápido
"-11.9422455,-77.138299,13z",5,"Muy buena sazón, baños impecables!"
"-11.9422455,-77.138299,13z",5,"Todo muy rico y bien servido, y el delivery es super rápido"
"-11.9422455,-77.138299,13z",5,"Grato ambiente,precios al alcance del bolsillo y excelente preparación"
"-11.9422455,-77.138299,13z",4,Sabor agradable  para el precio. La espera en la atención para llevar fue bastante rápida para sorpresa mía.
"-11.9422455,-77.138299,13z",5,La atención es buena y los dueños amables. Buenos precios y rica la comida
"-11.9422455,-77.138299,13z",4,"La cantidad no es tan considerable, pero el sabor sí es rico"
"-11.9422455,-77.138299,13z",3,Sabroso el menú y una atención esmerada
"-11.9422455,-77.138299,13z",1,"Los dueños son malcriados, pídanles el libro de reclamaciones y nunca se lo van a dar... lamentable porq es muy buena comida pero un día te cobran algo y al otro día te quieren cobrar más les reclamas se ponen prepotentes y ya no te quieren atender"
"-11.9422455,-77.138299,13z",1,"Hasta las patas
Cambiaron de cocineros atienden puros venezolanos
No es xenofobia pero antes an debido de aprender sobre los platos que venden informarse los nombres"
"-11.9422455,-77.138299,13z",4,"Muy buena comida, solo los siu mais estaban duros, parecían congelados. Todo lo demás Ok"
"-11.9422455,-77.138299,13z",4,"Siempre encuentras buenos platos, a un precio justo."
"-11.9422455,-77.138299,13z",5,"Buen lugar para comer, muy agradable."
"-11.9422455,-77.138299,13z",4,"La atención es buena, amable y atenta. El tiempo de espera es poco sin embargo la comida tiene puntos que mejorar así como los ingredientes."
"-11.9422455,-77.138299,13z",3,Está  mejorando en sabor. Pero la atención no. Peor con las venezolanas que crees que te hacen un favor al atender la mesa. Bien por el cajero.
"-11.9422455,-77.138299,13z",1,"La atencion pésima, los platos llegaron uno tras otro y el de mi esposa llego cuando todos los demas ya habiamos acabado, ahora son meseras venezolanas creo que mezclaron los platos con otros clientes."
"-11.9422455,-77.138299,13z",5,Buen servicio y la comida muy rico Gracias
"-11.9422455,-77.138299,13z",5,"Todo excelente, limpieza atención de primera y muy buena preparación en los platos muy rico, recomendable al 100 %"
"-11.9422455,-77.138299,13z",4,"Mantienen su rico sazón, pero pediría que mejoren su delibery un poco mas por tiempos de pandemia."
"-11.9422455,-77.138299,13z",5,Variedad de platos..buena sazón.
"-11.9422455,-77.138299,13z",4,La comida muy rica y bien preparado me encantó
"-11.9422455,-77.138299,13z",5,Lugar céntrico provincia de Cangallo bastante comercio
"-11.9422455,-77.138299,13z",5,Excelente atencion de primera en su local y también delivery
"-11.9422455,-77.138299,13z",5,Muy rico y sirven buena cantidad 😋…
"-11.9422455,-77.138299,13z",4,Precios accesibles cordial atención cumple con protocolos vigentes.
"-11.9422455,-77.138299,13z",5,"Muy bueno, sirven bastante y rico, lugar limpio, zona tranquila"
"-11.9422455,-77.138299,13z",4,Deliciosa las verduras a la parrilla 🤤🤤🤤…
"-11.9422455,-77.138299,13z",3,"La comida bien, pero algunas chicas en especial las venezolanas maa paran con el celular que en atender a los clientes.. Y yo tengo años consumiendo en el  chifa ESTRELLA..."
"-11.9422455,-77.138299,13z",5,Tienen una excelente variedad de platillos
"-11.9422455,-77.138299,13z",5,La comida súper rica 😋😋😋😋😋.…
"-11.9422455,-77.138299,13z",5,Buena sazón probé un tallarín Sansi recomendable
"-11.9422455,-77.138299,13z",3,Esta bien pero lo que malogro el sabor fue encontrar un trozo grande de sal y un pelo espero que no les pase lo mismo
"-11.9422455,-77.138299,13z",4,Muy rico
"-11.9422455,-77.138299,13z",4,"Buen lugar , muy buena comida , mantienen el sabor de siempre"
"-11.9422455,-77.138299,13z",5,"Fresco, ricos sabores."
"-11.9422455,-77.138299,13z",3,"Muy bueno, pero puede ser aún mejor."
"-11.9422455,-77.138299,13z",5,El unico donde preparan el tallarin de pollo con fideo frito delicioso
"-11.9422455,-77.138299,13z",2,Tiene buena comida buena atencion y local
"-11.9422455,-77.138299,13z",5,"Me encantó la comida y la atencio, lo recomiendo, el limonkay estubo delicioso"
"-11.9422455,-77.138299,13z",5,"Excelente sus potajes, deliciosos!!! ❤"
"-11.9422455,-77.138299,13z",4,"Atención rápida, local amplio y bien ventilado."
"-11.9422455,-77.138299,13z",3,Creo q es el más rico de  todos los chifa en México Comas
"-11.9422455,-77.138299,13z",5,"Muy rico, El aeropuerto  Especial es delicioso.  El mejor en la zona hasta ahora."
"-11.9422455,-77.138299,13z",4,Cumple con los protocolos..buena atención y buena sazón en comida Chifa...lo recomiendo.
"-11.9422455,-77.138299,13z",5,Excelente el servicio y la comida es agradable los invito a todos.
"-11.9422455,-77.138299,13z",3,Buen producto pero deben mejorar la atención
"-11.9422455,-77.138299,13z",5,Si la atención muy buena y rapida
"-11.9422455,-77.138299,13z",4,Muy rico y buena atención :)
"-11.9422455,-77.138299,13z",4,Buena atención y productos frescos me gustó.
"-11.9422455,-77.138299,13z",4,Muy rico la comida chifa.
"-11.9422455,-77.138299,13z",5,Buena atención y excelente la comida
"-11.9422455,-77.138299,13z",5,Muy buena comida
"-11.9422455,-77.138299,13z",5,Muy buena comida
"-11.9422455,-77.138299,13z",5,Muy rica comida
"-11.9422455,-77.138299,13z",5,Uno de los mejores chifas de Lima Norte
"-11.9422455,-77.138299,13z",4,"Bonito lugar , comida muy sabrosa"
"-11.9422455,-77.138299,13z",5,Muy bueno
"-11.9422455,-77.138299,13z",4,Buenos platos combinación de salado dulce.
"-11.9422455,-77.138299,13z",4,"Buena comida, recomendable"
"-11.9422455,-77.138299,13z",5,Deliciosos platos. Me encanta el tallarin frito.
"-11.9422455,-77.138299,13z",4,Mejorando
"-11.9422455,-77.138299,13z",5,Bueno rico y barato
"-11.9422455,-77.138299,13z",5,Lugar agradable para disfrutar una Rica comida china
"-11.9422455,-77.138299,13z",5,Muy buena comida
"-11.9422455,-77.138299,13z",5,Cocinan excelente lo recomiendo
"-11.9422455,-77.138299,13z",2,Le puse solo dos estrellas. Por que los números que dan no son los correctos
"-11.9422455,-77.138299,13z",4,Muy rico 🤤…
"-11.9422455,-77.138299,13z",4,"Buena su comida, cómodo y un lugar agradable"
"-11.9422455,-77.138299,13z",5,Muy rápido y buen servicio
"-11.9422455,-77.138299,13z",5,Una comida espectacular
"-11.9422455,-77.138299,13z",4,Rico agradable ambiente .
"-11.9422455,-77.138299,13z",3,Ha bajado la calidad de la comida :(
"-11.9422455,-77.138299,13z",5,Muy buena comida
"-11.9422455,-77.138299,13z",5,Hoy estaba muy bueno
"-11.9422455,-77.138299,13z",2,Pedi un lomo saltado con chaufa de 0a10 le pongo un 5
"-11.9422455,-77.138299,13z",3,Rapido pero un poco sucio o desordenado
"-11.9422455,-77.138299,13z",5,Buen menú... Buenos platos
"-11.9422455,-77.138299,13z",5,Muy rico preparan su comida
"-11.9422455,-77.138299,13z",2,Por la atencion e informacion de su platos
"-11.9422455,-77.138299,13z",4,Buena atención bonito lugar
"-11.9422455,-77.138299,13z",4,el lugar agradable y la comida también
"-11.9422455,-77.138299,13z",3,El chino diseño del chifa es malo
"-11.9422455,-77.138299,13z",3,"Lo normal en un chifa, nada de especial."
"-11.9422455,-77.138299,13z",4,la atencion es muy  buena
"-11.9422455,-77.138299,13z",3,estaba bn
"-11.9422455,-77.138299,13z",4,Muy rico
"-11.9422455,-77.138299,13z",5,Excelente atención
"-11.9422455,-77.138299,13z",5,Buena atención.
"-11.9422455,-77.138299,13z",5,Uno de los mejores chifas del cono norte
"-11.9422455,-77.138299,13z",4,Muy rico
"-11.9422455,-77.138299,13z",5,Excelente y precio acequible
"-11.9422455,-77.138299,13z",5,"Quieres comer cocina china, tienes que ir al chifa estrella."
"-11.9422455,-77.138299,13z",5,Buenazo
"-11.9422455,-77.138299,13z",4,Algo salado el plato q cene hoy
"-11.9422455,-77.138299,13z",4,Muy rico...
"-11.9422455,-77.138299,13z",5,Buena comida
"-11.9422455,-77.138299,13z",4,Buen sabor 👍…
"-11.9422455,-77.138299,13z",5,El mejor chicharrón de pollo con chaufa!
"-11.9422455,-77.138299,13z",5,Me encanto
"-11.9422455,-77.138299,13z",3,Muy buena atencion
"-11.9422455,-77.138299,13z",5,Muy bueno recomendable 🙂…
"-11.9422455,-77.138299,13z",2,Falta un poco de sabor.
"-11.9422455,-77.138299,13z",4,Buena atención y buen chifa 👍…
"-11.9422455,-77.138299,13z",5,Buen servicio
"-11.9422455,-77.138299,13z",4,Comida agradable
"-11.9422455,-77.138299,13z",5,Muy buena atencion
"-11.9422455,-77.138299,13z",4,Agradable el lomo de pollo
"-11.9422455,-77.138299,13z",5,Muy bueno!
"-11.9422455,-77.138299,13z",5,Buena atención
"-11.9422455,-77.138299,13z",4,Buena sazón
"-11.9422455,-77.138299,13z",4,Buena atención
"-11.9422455,-77.138299,13z",5,Es un buen chifas
"-11.9422455,-77.138299,13z",4,Le faltaba ají de cebollita
"-11.9422455,-77.138299,13z",2,Feo lugar para comer chifa
"-11.9422455,-77.138299,13z",5,Buena sazón
"-11.9422455,-77.138299,13z",3,Buena atención 👏…
"-11.9422455,-77.138299,13z",5,Buen sabor
"-11.9422455,-77.138299,13z",5,10 de 10
"-11.9422455,-77.138299,13z",1,Ni me gusto
"-11.9422455,-77.138299,13z",5,Delicioso!!
"-11.9422455,-77.138299,13z",5,EXCELENTE
"-11.9422455,-77.138299,13z",4,Genial..
"-11.9422455,-77.138299,13z",2,Malo
"-11.9422455,-77.138299,13z",5,Excelente servicio
"-11.9422455,-77.138299,13z",4,Atención rápida
"-11.9422455,-77.138299,13z",4,Buena atención..
"-11.9422455,-77.138299,13z",5,Bien
"-11.9422455,-77.138299,13z",5,Buenos platos
"-11.9422455,-77.138299,13z",1,Buenisimo
"-11.9422455,-77.138299,13z",1,Agradable
"-11.9422455,-77.138299,13z",5,Buena comida
"-11.9422455,-77.138299,13z",4,Buena comida
"-11.9422455,-77.138299,13z",3,Bien
"-11.9422455,-77.138299,13z",5,👍…
"-11.9422455,-77.138299,13z",5,👍…
"-11.9422455,-77.138299,13z",4,Bueno
"-11.9422455,-77.138299,13z",4,Rico platos
"-11.9422455,-77.138299,13z",4,Atención rapida
"-11.9422455,-77.138299,13z",5,Saltado de langostinos
"-11.9422455,-77.138299,13z",5,El mejor chifa de comas!
"-11.9422455,-77.138299,13z",5,💖💖💖…
"-11.9422455,-77.138299,13z",3,"Rico, vaarieedad"
"-11.9422455,-77.138299,13z",5,La atención y los potajes
"-11.9422455,-77.138299,13z",5,De los mejores chifas de la zona 👌🏻…
"-11.9422455,-77.138299,13z",4,Si todo bien 😊…
"-11.9422455,-77.138299,13z",3,Ok
"-11.9422455,-77.138299,13z",5,Bellooooo
"-11.9985068,-77.161702,11z",4,"Zona tranquila,Molina plaza cerca,won,
Vea,,BCP,continental,mejor dicho todo a la mano y todo tranquilo,hasta notaria tenemos
Todo OK"
"-11.9985068,-77.161702,11z",5,Awesome place delicious food
"-11.9985068,-77.161702,11z",5,Very nice taste
"-11.9985068,-77.161702,11z",5,Buen servicio y ambiente
"-12.1167699,-77.0282922,17z",5,"Elegimos el pescado del día y lo pedimos en tiraditos y a la parrilla. El pescado era muy fresco, acompañado con salsas deliciosas. El pisco sour muy rico también. Es verdad que es un restaurante caro pero nos ha encantado la experiencia y la comida."
"-12.1167699,-77.0282922,17z",3,"El cliente elige su pescado y se encargan de elaborlalo los platos que gusten. Cocinan bien y es una experiencia, pero la comida y las bebidas son algo caras. Comida para dos con dos cervezas artesanales fueron 236 soles.…"
"-12.1167699,-77.0282922,17z",1,"No me gustó el servicio, éramos cuatro personas. Nos trajeron platos para tres y cuando habíamos terminado de comer recién llego el pedido de la cuarta persona.. la idea de venir en grupo es compartir.. Si te advierten o de dicen que hay un…"
"-12.1167699,-77.0282922,17z",5,"El local es muy lindo, el espacio de arriba es muy fresco y abierto, y el de arriba es lindisimo con todas sus decoraciones.…"
"-12.1167699,-77.0282922,17z",2,"Restaurante basado en el estilo “Mercado” donde el cliente “compra” su pescado y/o mariscos, y ellos se encargan de elaborlalo según varios tipos de cocciones peruanas.…"
"-12.1167699,-77.0282922,17z",5,"La gastronomía de este lugar es exquisita, Te ofrecen el pescado entero y lo aprovechan por completo: en aguadito, platos frios y platos calientes. Buena presentación en sus platos. Excelente atención. El lugar está muy bien decorado. Por…"
"-12.1167699,-77.0282922,17z",5,"En las áreas aledañas a la municipalidad y comisaría, de lo que podríamos denominar Surquillo Pueblo, podemos encontrar varios restaurantes muy interesantes, pero nada más destacado que La Picantería, de la cual ya me habían comentado y…"
"-12.1167699,-77.0282922,17z",4,"La Picantería es un lugar donde de todas maneras encontrarás comida muy rica. De todo lo que probamos el pulpo estuvo delicioso y suave, luego el costillar, el ceviche y el estofado de pato. Muy recomendable."
"-12.1167699,-77.0282922,17z",5,"Muy bien lugar para comer, era mi primera vez en una picanteria y me explicaron la dinámica mientras me traían una sopita de cortesia, consiste en elegir tu pescado y te lo preparan de 3 maneras distintas, yo elegi la Cabrilla de 1.250gr y…"
"-12.1167699,-77.0282922,17z",4,"Muy buen servicio y todo lo que pedimos estaba rico y con muy buena presentación, lo único que no me gustaron mucho fueron las almejas.
Precios un poco elevados"
"-12.1167699,-77.0282922,17z",5,"Este lugar es brutal!! Las atencion excelente, bien asesorados por la mesera que nos atendió. Escogimos un par de pescados y las preparaciones excelentes!! Las entradas no se quedan atras y el pisco sour termina de cerrar el paquete completo 100% recomendado."
"-12.1167699,-77.0282922,17z",5,"Compramos platos para compartir y todo estuvo excelente. Ceviche, pato y parihuela. Fue algo caro, terminamos pagando como 140 soles y éramos como 10 pero lo valió.…"
"-12.1167699,-77.0282922,17z",5,"El lugar es excelente. Sugiero hacer reserva y llegar temprano. Si amas la comida marina, este lugar es para ti. Todos los platos y las bebidas, recomendadísimos."
"-12.1167699,-77.0282922,17z",4,"Excelentes insumos y preparación. El servicio espectacular. Aquí le pongo solo 2 estrellas al ambiente porque me tocó estar en el local que estaba al frente del local principal, totalmente distinta la experiencia. Si llevan a alguien por…"
"-12.1167699,-77.0282922,17z",5,"Exquisito pescado, más fresco imposible. El ambiente estupendo. Precios en relación a la calidad del producto. Riquísimo."
"-12.1167699,-77.0282922,17z",5,"Excelente restaurante!
Tan bueno es que sin reservas no se puede ir.
Todos los platos son una delicia, y el Pisco Sour es riquísimo!"
"-12.1167699,-77.0282922,17z",5,"Me encantó, desde que entras el ambiente es bonito, la atención esmerada y cuando ordenas un pescado te lo preparan en diferentes formas y tienes más opciones para comer! Los tragos uffff highly recommended!"
"-12.1167699,-77.0282922,17z",5,"La comida estaba riquísima, ordenas un pescado y te lo cocinan al estilo que quieras y además te hacen un caldo delicioso"
"-12.1167699,-77.0282922,17z",4,"Local: 3/5 por dos razones, el local debería ser más grande considerando la cantidad de personas que pueden estar adentro y más ahora en pandemia. Adicionalmente no tienen estacionamiento y afuera con suerte encuentras uno.…"
"-12.1167699,-77.0282922,17z",5,Uno de los mejores sitios de comida peruana el servicio es muy amable y muy agradable de ambiente. Toca reservar con antelación
"-12.1167699,-77.0282922,17z",5,"El Restaurant es um tesoro escondido, pasas por el lugar y no te imaginas encontrar algo tan exquisito. Mis amigas y yo probamos muchísimo de la carta y todo estaba 20 de 10, el ambiente súper agradable. Lo único malo es que esperamos 1…"
"-12.1167699,-77.0282922,17z",5,"Excelente lugar para almorzar, muy buena comida y ambiente agradable al 100%"
"-12.1167699,-77.0282922,17z",4,"El ambiente es muy bonito, espacioso y ventilado.
La atención es muy buena. Están muy atentos a lo que pidas y te dan opciones así como respuestas a tus preguntas.…"
"-12.1167699,-77.0282922,17z",3,"Un sitio muy autentico y con una cocina espectacular. Seleccionas un pescado al peso y te hacen sopa, cebiche y asado ... del mismo pescado. Se subió bastante de precio respecto al trato y calidad."
"-12.1167699,-77.0282922,17z",4,"Muy bueno, 0 quejas a la calidad de la comida. El servicio y el problema con las mesas lo hacen realmente difícil de repetir. Fuimos a la 12:30 y tuvimos que esperar dos horas para comer. Y en la toma del pedido hubieron errores debido a la sobre explotación del negocio. No dan abasto"
"-12.1167699,-77.0282922,17z",5,Muy rico. Muy fresco el pescado. Platos muy generosos . Bonita experiencia . Muy apretado para mí gusto   Buen vino .
"-12.1167699,-77.0282922,17z",4,Es una muy bonita experiencia. Sugiero reservar antes de ir. La comida es muy rica y fresca. Uno puede elegir el insumo principal ( pescado) y en base a su peso elegir diferentes tipos de preparación. Lo única a mejorar es la atención que es un poco lenta y no orientan mucho.
"-12.1167699,-77.0282922,17z",4,"Muy interesante propuesta! La tematica es la sgte: Eliges la pesca del dia y en base al peso te preparan 2 platos (frio y caliente). El resultado estuvo increible! buen sabor, buena presentación y porciones exactas.…"
"-12.1167699,-77.0282922,17z",5,"¡Fabuloso! Excelente producto, técnica y sazón.  Todo estuvo delicioso.   Ceviche excelente, escabeche fantástico. Muy recomendable.  El staff también muy cordial y servicial."
"-12.1167699,-77.0282922,17z",5,"El lugar es excelente no tengo ninguna queja, tanto la comida como las bebidas y la atención fueron de primera, es un lugar para ir acompañado y compartir la comida, venden el pescado por peso y lo preparan de diferentes maneras es toda una…"
"-12.1167699,-77.0282922,17z",4,"El Bartender debería de saber preparar los tragos con mejor mano, el pisco Sour no recomendable, así como el mojito,  lo mejor la parihuela , y el costillar es frito no quiso, pero estaba sabroso, así como el ceviche de pato !!  La atención increíble las señoritas de primer nivel , bien ppr ellas !!!"
"-12.1167699,-77.0282922,17z",3,Es un lugar pequeño y rústico ubicado en una zona un poco peligrosa. Tienen bastantes mozos y  están dispuestos a atenderte adecuadamente. Las mesas de madera no son muy cómodas. Los pescados son frescos y el concepto es muy bueno. La…
"-12.1167699,-77.0282922,17z",5,"La nueva cocina peruana
Excelente lugar, sabores súper limpios con muy buena sazón. Una propuesta para conocer la nueva tendencia de la cocina peruana. Ojo no es barato pero vale la pena cada centavo"
"-12.1167699,-77.0282922,17z",5,Muy lindo restaurante. Comida muy rica y muy bien atendido. Precio acorde a todo lo anterior.
"-12.1167699,-77.0282922,17z",5,"Todo muy rico y muy bueno. Pero como que estaba empezando a desorganizarse con la atención de las reservas, quizás por ello que ahora es por orden de llegada."
"-12.1167699,-77.0282922,17z",5,"Un lugar espectacular para comer en Lima. Nos lo pasamos genial! Muy buen producto, geniales cocktails y muy buen servicio. Repetiremos. Mejor con reserva, si deben esperar no se pierdan el bar. Casual, informal, para amigos y familia. Muy recomendado!"
"-12.1167699,-77.0282922,17z",5,Que buen restaurante. Guarda la esencia norteña chiclayana. Los sabores te traen a la memoria ese delicioso ceviche en las playas de norte. Un chicano con todo el concentrado de una rica corvina o el pescado que más te apetezca. Recomendable el pisco sour. Muy recomendable.
"-12.1167699,-77.0282922,17z",5,"Muy buena comida marina, escoges el pescado y lo preparan de acuerdo a tus gustos!! El pescado a la brasa es espectacular!!! La almejas a la chalaca, el ceviche y un sudado de pez diablo (rinchin) no tienen pierde!!!"
"-12.1167699,-77.0282922,17z",5,"En mi opinión, el mejor restaurante de Lima. Lo ideal es elegir un pescado como la chita y que preparen la sopa, ceviche y al ajillo. Muy bueno también el erizo."
"-12.1167699,-77.0282922,17z",5,"Muy lindo ambiente, muchas opciones para comer, super original el concepto. Recomiendo este lugar para una experiencia única. El único detalle es que no te ofrecen una carta o algo por escrito explicando el concepto, así como para ver los…"
"-12.1167699,-77.0282922,17z",4,"Si te gusta la comida marina , este es un lugar donde debes ir a comer . Queda en el distrito de surquillo cerca del mercado número uno , su metodología es que tú eliges el tipo de pescado y su tipo de preparación . 100% recomendado . Lo…"
"-12.1167699,-77.0282922,17z",5,"Lugar acogedor, con ambiente típicos de picanterías. Se debe reservar por la coyuntura actual.
El costo es un poco alto pero vale la pena los tragos.…"
"-12.1167699,-77.0282922,17z",5,"Preparado al momento cualquier pesca del día a escoger con alguna de las varias recetas disponibles. La espera suele ser larga pero vale la pena, a veces hay espacio en el bar para ir tomando algo en lo que hay espacio en el salón principal."
"-12.1167699,-77.0282922,17z",5,"Sin comentario.. muy buena !!!escoges tu pescado y de allí te hacen tu ceviche, arroz p zcado a la plancha y tú sopa.."
"-12.1167699,-77.0282922,17z",5,"El mejor lugar de comida marina de Lima. La idea de escoger el pescado y decidir los platos te lleva al tradicional warique norteño Todo vale la pena el ceviche, jalea chiclayana pescado al ajo, etc. Lleva el corazón del fiesta al máximo nivel."
"-12.1167699,-77.0282922,17z",5,"Excelente lugar para disfrutar y pasarlo súper bien 🙂✌️
Recomendado al 100%…"
"-12.1167699,-77.0282922,17z",5,"Muy rico, los pescados bien cocinados y tienen un detallazo al final: sirven una sopa que hacen con las espinas de pescado, deliciosa. Un plus es su cerveza de la casa, de barril."
"-12.1167699,-77.0282922,17z",5,Excelente lugar para compartir y degustar platos típicos del norte
"-12.1167699,-77.0282922,17z",5,"Un gran pisco sour, las navajitas son una entrada imperdible y el ceviche te deja sin aliento (si no soportas el ají, pueden pedirlo en versión suave). No olvides pedir el postre de manzana, es una cosa de otro mundo.…"
"-12.1167699,-77.0282922,17z",5,"Buenísima calidad de pescados. Navajas, fortuno en ceviche y a la parrilla, con un buen torontes."
"-12.1167699,-77.0282922,17z",5,"La comida muy buena, el servicio es muy bueno y rápido."
"-12.1167699,-77.0282922,17z",5,"Excelente comida, tanto la Marina como criolla (cau cau). Voy a regresar nuevamente. Como punto de mejora, las mesas quedan pequeñas para el tamaño de los platos."
"-12.1167699,-77.0282922,17z",5,"Un excelente lugar para disfrutar comida peruana y sino-peruana.  Tiene mesas al aire libre y en espacios confinados. La presentación de los platos es espectacular, y el sabor es supremo."
"-12.1167699,-77.0282922,17z",5,"La comida es buenaza!!! Me encantó todo. Tienen los pescados expuestos, eliges el que quieres y cono prefieres que te lo preparen y así te lo sirven. Reclmendadisimo el pescado al ajo. Eso sí, las raciones son gigantes!!! Salimos llenisimos y no conseguimos terminar todo ni de broma"
"-12.1167699,-77.0282922,17z",2,"El secreto, Ajinomoto. No pueden cobrar tan caro (aprox 180 solespara 2 personas) por un ceviche con ajinomoto. La comida no es mala, pero muy sobrevalorado. Me tocaron asientos sin respaldar"
"-12.1167699,-77.0282922,17z",4,Pintoresco lugar para comer pescados
"-12.1167699,-77.0282922,17z",5,Demasiado bueno!! Su pisco sour... buenísimo!!!!
"-12.1167699,-77.0282922,17z",5,"El sabor intenso de cada plato es altamente adictivo, recomendado para quienes no se incomodan por las risas y conversaciones a viva voz en un lugar no tan grande pero acogedor, bebidas y platillos que son uno mejor que el otro, 100% recomendado"
"-12.1167699,-77.0282922,17z",5,"Si eres nacional o extranjero, TIENES QUE IR. La comida es deliciosa. Es caro, pero vale cada centavo. La modalidad de comprar el pescado y elegir preparación es lo máximo."
"-12.1167699,-77.0282922,17z",5,Restaurante auténtico con el mejor pescado de Lima. Ambiente diferente y un excelente servicio felicitaciones
"-12.1167699,-77.0282922,17z",4,Excelente su comida. Decoracion y su personal muy amable.  Tambien me gusta  qje den delantal para que no se ensucie la gente  al comer.  Buenisima la idea.   He ido 2 veces y volvere una 3 era.
"-12.1167699,-77.0282922,17z",5,"Un bonito lugar para comer diversos tipos de comidas, acompañados de una excelente atencion, bebidas buenas y deliciosos postres. Se disfruta el momento."
"-12.1167699,-77.0282922,17z",5,"El lugar es chico hay que esperar, la comida espectacular, interesante pedir diferente preparación por una misma pieza por gramos/kilo (pescado o ave)"
"-12.1167699,-77.0282922,17z",3,"Regresé a la Picanteria después de un poco más de 1 año y creo que en vez de mejorar se ha detenido en lo que le funciona. Separé una cabrilla de 950 grs, preparada en ceviche, jalea y chilcano.....lo mejor el chilcano seguida de la…"
"-12.1167699,-77.0282922,17z",5,"Fabuloso restaurante especializado en producto de mar!! el barrio puede hacerlo desconfiar pero vale la pena ir. Conviene reservar o ir bien temprano y esperar en el bar, donde pueden degustar algún vino o un pisco macerado. El salón es…"
"-12.1167699,-77.0282922,17z",5,"Excelente experiencia desde la
seleccion del menu y el burn servicio"
"-12.1167699,-77.0282922,17z",5,"Increíble. Demasiado bueno.
De lejos el mejor Ceviche que comí en mi última visita a Lima.
Siempre un gusto! Aunque esta vez los chilcanos no estaban al 100% como otras…"
"-12.1167699,-77.0282922,17z",5,Buenisimoo!!!! Y la atención muy buena! Especial mención a la causa de pescado crocante... ESPECTACULAR
"-12.1167699,-77.0282922,17z",5,"Hace mucho tiempo no disfrutaba de esta manera un almuerzo. Es una delicia todo, excelente sitio volvería mil veces."
"-12.1167699,-77.0282922,17z",5,"Buena sazon, buena porción, ambiente acogedor, buenas bebidas 9.8 de 10"
"-12.1167699,-77.0282922,17z",4,"muy buen lugar aunque viviendo en lima, hay 100 mejores por la mitad de precio"
